,full_id,brand,name,price,old_price,discount,rating,total_reviews
36,industrial-18-inches-standing-fan-ox-mpg3352813,Ox,"Ox Industrial 18"" Inches Standing Fan",89500.0,89500.0,0,4.0,4
37,duravolt-18-inches-acdc-standing-fan-non-rechargeable-259463905,Duravolt,Duravolt 18 Inches AC/DC Standing Fan  (Non Rechargeable),45999.0,55000.0,16,3.5,14
38,duravolt-solar-ceiling-fan-acdc-288794173,Duravolt,Duravolt Solar Ceiling Fan AC/DC,49999.0,65000.0,23,4.0,2
39,ox-18-inches-2-in-1-rechargeable-fan-with-solar-panel-265594953,Ox,Ox 18 Inches 2 In 1 Rechargeable Fan With Solar Panel,83930.0,83930.0,0,4.3,40
40,26-inch-industrial-standing-water-acmist-fan-26-generic-mpg3632911,Generic,26 Inch Industrial Standing Water AC/Mist Fan 26'',185000.0,185000.0,0,4.5,20
41,binatone-16-inch-duo-power-series-standing-fan-a1692-102988831,Binatone,Binatone 16 Inch Duo Power Series Standing Fan (A1692),41895.0,51895.0,19,5.0,2
42,binatone-16-inch-standing-fan-with-remote-control-a-1612-265520890,Binatone,Binatone 16-Inch Standing Fan With Remote Control A-1612,84000.0,190000.0,56,0.0,0
43,binatone-20-inches-heavy-duty-industrial-fan-hdf-2021-black-26742221,Binatone,Binatone 20 Inches Heavy Duty Industrial Fan (HDF-2021) - Black,113399.0,166180.0,32,4.3,89
44,standing-fan-industrial-20-inches-ox-mpg3968470,Ox,"Ox Standing Fan Industrial 20"" Inches",104985.0,115500.0,9,4.1,43
45,iwin-mini-rechargeable-desktop-fan-316769940,Iwin,Iwin Mini Rechargeable Desktop Fan,9500.0,25000.0,62,4.0,57
46,20-inches-industrial-standing-fan-ox-mpg3352826,Ox,"Ox 20"" Inches Industrial Standing Fan",105500.0,120000.0,12,5.0,2
47,plus-standing-fan-ox-mpg4128518,Ox,Ox Plus Standing Fan,29998.0,50000.0,40,4.3,234
48,generic-portable-home-small-air-humidifier-3-speed-fan-white-303228902,Generic,Portable Home Small Air Humidifier 3-Speed Fan - White,14256.0,25670.0,44,3.0,1
49,18-inches-acdc-standing-fan-qsf-18r-qasa-mpg3968478,Qasa,Qasa 18 Inches AC/DC Standing Fan QSF- Metal Blade,49000.0,80000.0,39,3.9,12
50,binatone-elegant-design-stand-fan-ital-1660-101910157,Binatone,Binatone Elegant Design Stand Fan -  ITAL 1660,71000.0,200000.0,65,0.0,0
51,ox-18-inch-standing-fan-ventilator-259886313,Ox,"Ox 18"" Inch Standing Fan Ventilator",25909.0,28143.0,8,5.0,1
52,18-plus-speedy-standing-fan-ox-mpg3147325,Ox,"Ox 18"" PLUS OX STANDING FAN",28290.0,28290.0,0,4.5,38
53,generic-18-plus-electric-standing-fan-18-inches-344298136,Generic,"18"" PLUS ELECTRIC STANDING FAN - 18 Inches",25900.0,25900.0,0,0.0,0
54,bb-18-inches-standing-high-speed-fan-new-2024-265578281,BB,BB 18' Inches Standing High Speed Fan New 2024,24900.0,24900.0,0,4.7,7
55,qasa-26-industrial-fan-qpif-26-eco-free-torch-367942325,Qasa,"Qasa 26"" Industrial Fan QPIF-26 Eco +free Torch",97995.0,120000.0,18,0.0,0
56,standing-fan-industrial-26-inches-ox-mpg3147365,Ox,"Ox Standing Fan Industrial 26"" Inches",122000.0,122000.0,0,5.0,1
57,18-standing-fan-ox-fan-ox-mpg3968457,Ox,"Ox 18” Standing Fan Ox Plus Fan,",24290.0,118908.0,80,4.4,169
58,duravolt-rechargeable-table-wall-fan-with-solar-panel-358456755,Duravolt,Duravolt Rechargeable Table/ Wall Fan With Solar Panel,50500.0,75000.0,33,0.0,0
59,glamstar-18-inches-rechargeable-standing-fan-black-338892377,Glamstar,Glamstar 18 Inches Rechargeable Standing Fan Black,69500.0,85000.0,18,3.8,13
60,qasa-16-acdc-non-rechargeable-mist-fan-367619512,Qasa,"Qasa 16""  Ac/Dc NON-RECHARGEABLE Mist Fan",95995.0,120000.0,20,0.0,0
61,ox-18-standing-electric-fan-free-gift-259434230,Ox,"Ox 18"" Standing Electric Fan + Free Gift",24990.0,145000.0,83,0.0,0
62,generic-16inches-rechargeable-acdc-solar-fan-with-20w-panel-and-one-led-bulb-359915492,Generic,16inches Rechargeable AC/DC solar fan with 20w panel and one Led bulb,73000.0,155000.0,53,5.0,1
63,iyowei-rechargeable-table-hand-fan-mobile-phone-holder-204930020,iYOWEI,iYOWEI Rechargeable Table Hand Fan Mobile Phone Holder,4590.0,7265.0,37,3.9,253
64,qasa-18-standing-fan-qsf-18721-eco-68w-metal-blades-67172965,Qasa,"Qasa 18"" Standing Fan QSF-18721 Eco 68W Metal Blades",38950.0,143000.0,73,4.2,12
65,qasa-12-inches-rechargeable-table-fan-with-solar-and-bulbs-363416143,Qasa,Qasa 12 Inches Rechargeable Table Fan With Solar And Bulbs,52499.0,60000.0,13,0.0,0
66,18-inch-typhoon-series-standing-fan-ts-1880-mk2-black-binatone-mpg3964554,Binatone,Binatone 18 Inch Standing Fan TS-1880 .+Free Ext,67500.0,78000.0,13,5.0,2
67,plus-18-stand-fan-ox-mpg3147331,Ox,Ox 18inch STANDING FAN-BLACK+ Free Gift Inside,25990.0,72490.0,64,4.2,1022
68,18-inches-acdc-standing-fan-20-watts-solar-panel-qasa-mpg3632956,Qasa,Qasa 18 Inches AC/DC Standing Fan + 20 Watts SOLAR PANEL,69500.0,90400.0,23,4.6,9
69,short-blade-ceiling-fan-24-inches-coffee-brownwhite-qasa-mpg3147396,Qasa,Qasa Short Blade Ceiling Fan -24 Inches COFFEE BROWN/WHITE,23500.0,25000.0,6,5.0,1
70,qasa-18-inches-acdc-standing-fan-20-watts-solar-panel-367170706,Qasa,Qasa 18 Inches AC/DC Standing Fan + 20 Watts SOLAR PANEL,68000.0,70000.0,3,0.0,0
71,industrial-wall-fan-18-inches-ox-mpg3147327,Ox,Ox Industrial Wall Fan - 18 Inches,77995.0,87500.0,11,4.5,12
72,binatone-1.6-metres-stand-fan-mode-a-1810-black-202233725,Binatone,Binatone 1.6 Metres Stand Fan Mode (A-1810) - Black,57799.0,87050.0,34,4.6,19
73,sun-king-solar-fan-with-20w-solar-panel-71338441,Sun King,Sun King Solar Fan With 20W Solar Panel,114802.0,135700.0,15,4.2,845
74,18-inches-acdc-standing-fan-remote-non-rechargeable-qasa-mpg2940485,Qasa,Qasa 18 Inches AC/DC Standing Fan + Remote (Non Rechargeable),48000.0,79000.0,39,5.0,2
75,duravolt-16-dc-standing-fan-dsf-163-dc-366885126,Duravolt,"Duravolt 16"" DC STANDING FAN, DSF-163 Dc",40995.0,50000.0,18,0.0,0
76,generic-portable-neck-fan-rechargeable-led-display-5-speeds-257186978,Generic,Portable Neck Fan Rechargeable LED Display 5 Speeds,6138.0,18714.0,67,3.3,24
77,ox-industrial-18-inches-standing-fan-72087099,Ox,"Ox Industrial 18"" Inches Standing Fan",89990.0,89990.0,0,4.5,35
78,12-inch-rechargeable-table-fan-cf025-12-lontor-mpg4310477,Lontor,Lontor 12 Inch Rechargeable Table Fan Cf025-12,39199.0,66500.0,41,4.4,923
79,binatone-stand-fan-elite-series-18-inches-es-1800-brass-metal-112757338,Binatone,Binatone Stand Fan Elite Series 18 Inches ES-1800 - Brass (Metal),139000.0,170000.0,18,0.0,0
80,duravolt-7inches-rechargeable-table-fansolar-panelbulbs-374347383,Duravolt,Duravolt 7inches Rechargeable Table Fan+Solar Panel+Bulbs,28000.0,30000.0,7,0.0,0
81,qasa-12-inches-rechargeable-table-fan-with-solar-and-bulbs-363414363,Qasa,Qasa 12 Inches Rechargeable Table Fan With Solar And Bulbs,52499.0,65000.0,19,0.0,0
82,heavy-breeze-wall-fan-18-inches-century-mpg1580417,Generic,"Heavy Breeze Wall Fan 18"" Inches",29900.0,29900.0,0,4.3,9
83,industrial-18-inches-standing-fan-ox-mpg3147353,Ox,"Ox Industrial 18"" Inches Standing Fan",89500.0,89500.0,0,5.0,1
84,elegant-design-stand-fan-ital-1660-binatone-mpg1675136,Binatone,Binatone 1.6 Metre Stand Fan (ITAL 1660) - Black,62499.0,85620.0,27,4.4,182
85,18-adjustable-standing-fan-black-ox-mpg4128525,Ox,"Ox 18"" PLUS ELECTRIC STANDING FAN - 18 Inches",28250.0,35000.0,19,4.0,36
86,duravolt-7inches-rechargeable-table-fansolar-panelbulbs-363415725,Duravolt,Duravolt 7inches Rechargeable Table Fan+Solar Panel+Bulbs,28500.0,30000.0,5,3.0,1
87,duravolt-18-dc-standing-fan-dsf-183-dc-366846944,Duravolt,"Duravolt 18"" DC STANDING FAN, DSF-183 Dc",49995.0,50000.0,1,0.0,0
88,best-buy-bb-18-inches-standing-high-speed-fan-new-2024-323263228,Best Buy,Best Buy BB 18' Inches Standing High Speed Fan New 2024,25000.0,25000.0,0,3.0,1
89,generic-q3-desk-fan-portable-personal-fan-digital-display-232165344,Generic,Q3 Desk Fan Portable Personal Fan Digital DIsplay,9200.0,20978.0,56,4.0,98
90,ox-spacetek-18-inches-standing-industrial-fan-2-years-warranty-311833972,Ox,Ox Spacetek 18' Inches Standing Industrial Fan 2 Years Warranty,25490.0,25490.0,0,4.0,1
91,silver-crest-16-solar-rechargeable-fan-with-solar-panel-356188000,Silver Crest,"Silver Crest 16"" Solar Rechargeable Fan With Solar Panel",65000.0,90000.0,28,0.0,0
92,ox-26-inches-industrial-standing-fan-26-ox-industrial-fan-35771820,Ox,"Ox 26 Inches Industrial Standing Fan - 26"" OX Industrial Fan",118800.0,155900.0,24,5.0,1
93,generic-tower-type-usb-electric-fan-leafless-air-conditioning-fan-291951916,Generic,Tower Type USB Electric Fan Leafless Air-conditioning Fan,22889.0,32696.0,30,0.0,0
94,duravolt-solar-ceiling-fan-acdc-269976599,Duravolt,Duravolt Solar Ceiling Fan AC/DC,49999.0,60000.0,17,4.8,5
95,standing-fan-industrial-26-inches-ox-mpg3147366,Ox,"Ox Standing Fan Industrial 26"" Inches",101170.0,175999.0,43,4.4,132
96,generic-heavy-breeze-wall-fan-18-inches-60726699,Generic,"Heavy Breeze Wall Fan 18"" Inches",26900.0,26900.0,0,4.7,3
97,16-electric-standing-fan-copper-coil-5-blades-generic-mpg4128531,Generic,"16"" Electric Standing Fan",24900.0,24900.0,0,3.0,1
98,duravolt-solar-3-in-1-rechargeable-standing-fan-18-inches-243304044,Duravolt,Duravolt Solar 3-in-1 Rechargeable Standing Fan - 18 Inches,110000.0,130000.0,15,0.0,0
99,ox-18-inches-standing-fanfree-gift-inside-itel-70401354,Ox,Ox 18 Inches Standing Fan+free Gift Inside Itel,28990.0,30000.0,3,4.1,9
100,iwin-rechargeable-mini-desktop-fan-315322530,Iwin,Iwin Rechargeable  (Mini) Desktop Fan,9405.0,25000.0,62,4.6,14
101,century-18-inches-rechargeable-mist-fan-with-led-light-rc-45f-21502496,Century,"Century 18"" Inches Rechargeable Mist Fan With LED Light (RC 45F)",161500.0,245000.0,34,4.2,22
102,generic-10000mah-power-bank-7inch-rechargeable-fan-led-light-tripod-174787896,Generic,10000mAh Power-Bank 7inch Rechargeable Fan LED Light Tripod,31990.0,74840.0,57,4.5,104
103,generic-led-ceiling-light-with-built-in-fan-and-remote-control-30w-255258495,Generic,Led Ceiling Light With Built-in Fan And Remote Control - 30W,26800.0,35706.0,25,3.9,12
104,generic-17.2rechargeable-fanremoteled-light-free-gift-58215594,Generic,"17.2""Rechargeable Fan+Remote+LED Light + Free Gift",57500.0,88000.0,35,3.5,91
105,iyowei-rechargeable-table-hand-fan-mobile-phone-holder-226152796,iYOWEI,iYOWEI Rechargeable Table Hand Fan Mobile Phone Holder,4590.0,7265.0,37,3.8,104
106,foldable-rechargeable-table-fan-kamisafe-mpg3632925,Kamisafe,Kamisafe Foldable Rechargeable Table Fan,23275.0,32000.0,27,4.7,36
107,16-inches-rechargeable-fan-remote-control-qrf-5916hr-qasa-mpg1675262,Duravolt,Duravolt 16 Inches 4 In 1 Rechargeable Fan+Solar Panel+2Bulbs+Fm Radio,75999.0,180000.0,58,4.2,590
108,16-inch-rechargeable-standing-fan-white-ctl-cf034-16c-green-lontor-mpg2068592,Lontor,Lontor 16 Inch Standing Fan Solar Rechargeable CF034R-16-C Green,92149.0,118000.0,22,4.5,164
109,generic-portable-telescopic-rechargable-7200mah-foldable-fan-330378050,Generic,Portable Telescopic Rechargable 7200mah Foldable Fan,19995.0,30000.0,33,4.3,13
110,generic-neck-fan-rechargeable-hanging-portable-bladeless-adjustable-134637042,Generic,Neck Fan Rechargeable Hanging Portable Bladeless Adjustable,8118.0,21857.0,63,4.0,45
111,iwin-rechargeable-mini-desktop-fan-316768574,Iwin,Iwin Rechargeable  (Mini) Desktop Fan,9500.0,25000.0,62,4.8,4
113,qasa-16-inches-industrial-wall-fan-qwf-1601-metal-53w-316453466,Qasa,Qasa 16 Inches INDUSTRIAL WALL FAN QWF-1601 Metal 53W,35000.0,42000.0,17,4.0,1
114,portable-air-conditioner-air-cooler-fan-water-cooling-fan-ai-generic-mpg3968047,Generic,Portable Air Conditioner Air Cooler Fan Water Cooling Fan Ai,33251.0,66503.0,50,3.0,2
115,generic-20-inch-low-noise-high-performance-mechanical-remote-fan-263810276,Generic,20 Inch Low Noise High Performance Mechanical Remote Fan,69999.0,85990.0,19,3.9,7
116,generic-foldable-laptop-cooling-fans-notebook-computers-cooling-pads-cooler-stand-249554837,Generic,Foldable Laptop Cooling Fans Notebook Computers Cooling Pads Cooler Stand,9822.0,11492.0,15,4.0,16
117,wiices-500w-solar-system-for-tv-and-lights-with-12watt-dc-bulbs-259434177,WIICES,WIICES 500W SOLAR SYSTEM FOR TV AND LIGHTS WITH 12WATT DC BULBS,165000.0,170000.0,3,2.5,4
118,qasa-18-inches-acdc-standing-fan-qsf-18r-metal-blade-dc12v20w-316471296,Qasa,Qasa 18 Inches ACDC Standing Fan QSF-18R Metal Blade DC12V20W,49500.0,55000.0,10,5.0,1
120,duravolt-16-inches-3-in-1-rechargeable-fan-solar-panel-2-bulbs-98274861,Duravolt,Duravolt 16 Inches - 3 In 1 Rechargeable Fan +Solar Panel + 2 Bulbs,74900.0,175896.0,57,3.9,169
121,qasa-quality-56-inches-remote-controlled-only-ceiling-fan-253374963,Qasa,Qasa Quality 56 Inches Remote Controlled Only Ceiling Fan,23750.0,30000.0,21,4.1,159
122,qasa-quality-56-inches-remote-controlled-only-ceiling-fan-256126039,Qasa,Qasa Quality 56 Inches Remote Controlled Only Ceiling Fan,23750.0,30800.0,23,4.3,44
123,qasa-quality-56-inches-remote-controlled-only-ceiling-fan-66437523,Qasa,Qasa Quality 56 Inches Remote Controlled Only Ceiling Fan,23690.0,35000.0,32,4.5,51
124,generic-laptop-stand-with-cooling-fan-adjustable-speed-278229433,Generic,Laptop Stand With Cooling Fan Adjustable Speed,13990.0,24418.0,43,3.8,14
125,18-inch-plus-rechargeable-standing-fan-wit-remote-control.-ox-mpg1662251,Century,Century 18-Inches Rechargeable Standing Fan Wit Remote Control.,92000.0,150000.0,39,4.5,106
126,generic-led-30w-e27-remote-control-fan-light-smart-ceiling-fan-light-295845270,Generic,"LED 30W E27 Remote Control Fan Light, Smart Ceiling Fan Light",20900.0,35900.0,42,0.0,0
127,wow-wow-win-17.2-inches-rechargeable-solar-stand-fan-279342195,Wow,Wow Wow-win 17.2 Inches Rechargeable Solar Stand Fan -,56500.0,56500.0,0,4.0,64
128,generic-smartvolt-10-multifunctional-rechargeable-table-fan-351444984,Generic,Smartvolt-10'' Multifunctional Rechargeable Table Fan,27978.0,45234.0,38,4.8,5
129,ox-18-plus-wall-fan-18-inch-68047191,Ox,Ox 18 Plus Wall Fan - 18'' Inch,28443.0,39000.0,27,4.2,82
130,qasa-quality-56-inches-remote-controlled-only-ceiling-fan-257579985,Qasa,Qasa Quality 56 Inches Remote Controlled Only Ceiling Fan,23750.0,30800.0,23,4.7,22
133,qasa-short-blade-ceiling-fan-24-inches-coffee-brownwhite-217773465,Qasa,Qasa Short Blade Ceiling Fan -24 Inches COFFEE BROWN/WHITE,22900.0,30000.0,24,4.4,11
134,lontor-12-inch-rechargeable-table-fan-cf025-12-cafini-solar-panel-371966010,Lontor,Lontor 12 Inch Rechargeable Table Fan Cf025-12  + Cafini Solar Panel,46000.0,50000.0,8,0.0,0
135,duravolt-7inches-3in1-rechargeable-table-fansolar-panelbulbs-88834601,Duravolt,Duravolt 7inches 3in1 Rechargeable Table Fan+Solar Panel+Bulbs,25490.0,35640.0,28,4.2,192
136,ox-hexa-18-solar-compatible-rechargeable-standing-fan-367727949,Ox,"Ox Hexa 18"" Solar Compatible Rechargeable Standing Fan",54300.0,60000.0,10,0.0,0
137,generic-intelligent-led-ceiling-light-with-built-in-fan-and-remote-control-30w-white-284871601,Generic,Intelligent Led Ceiling Light With Built-in Fan And Remote Control - 30W - White,19443.0,28300.0,31,4.0,4
138,generic-rechargeable-table-hand-fan-mobile-phone-holder-314633663,Generic,Rechargeable Table Hand Fan Mobile Phone Holder,4188.0,7880.0,47,0.0,0
139,generic-rechargeable-fans-table-desk-fan-mist-fan-light-fans-rechargeable-air-cooler-water-fan-350598615,Generic,Rechargeable Fans Table Desk Fan Mist Fan Light Fans Rechargeable Air Cooler Water Fan,19999.0,37999.0,47,0.0,0
141,generic-mini-rechargeable-handheld-fan-333739317,Generic,Mini Rechargeable Handheld Fan,3995.0,12950.0,69,4.5,2
144,multi-functional-led-light-rechargeable-table-fan-kamisafe-mpg4302512,Kamisafe,Kamisafe Multi-functional Led Light Rechargeable Table Fan,21090.0,40000.0,47,4.4,131
145,generic-memo-cx07-cx04-dla6-fast-cooling-magnetic-semiconductor-mobile-phone-refrigerator-cooler-radiator-364480831,Generic,MEMO CX07 CX04 DLA6 Fast Cooling Magnetic Semiconductor Mobile Phone Refrigerator Cooler Radiator,12913.0,12913.0,0,5.0,1
146,generic-short-blade-celling-fan-summer-delite-335951617,Generic,Short Blade Celling Fan Summer Delite,21999.0,30000.0,27,0.0,0
147,generic-portable-neck-fan-bladeless-adjustable-rechargeable-276208482,Generic,Portable Neck Fan Bladeless Adjustable Rechargeable,6503.0,12751.0,49,4.0,4
148,generic-ceiling-fan-with-led-light-and-remote-control-2-in-1-299474132,Generic,Ceiling Fan With LED Light And Remote Control - 2 In 1,21950.0,22500.0,2,4.5,4
149,generic-thermal-conductive-paste-for-cpu-chipset-cooling-20ml-256072132,Generic,Thermal Conductive Paste For CPU Chipset Cooling 20ml,2500.0,2500.0,0,4.3,16
150,generic-mini-folding-telescopic-floor-fan-348745206,Generic,Mini Folding Telescopic Floor Fan,8940.0,13990.0,36,0.0,0
151,rechargeable-mist-fan-water-fan-lontor-mpg3352802,Lontor,Lontor Rechargeable Mist Fan  (CTL-CF046),179499.0,198000.0,9,4.4,46
152,century-16-inch-rechargeable-fan-frc-40-d-5-blades.-44540388,Century,Century 16-Inch Rechargeable Fan FRC-40-D (5 Blades).,76500.0,125000.0,39,4.6,14
153,generic-foldable-rechargeable-fan-adjustable-desktop-with-usb-290507669,Generic,Foldable Rechargeable Fan Adjustable Desktop With USB,19990.0,19990.0,0,4.2,59
155,generic-short-blade-celling-fan-summer-delite-339232694,Generic,Short Blade Celling Fan Summer Delite,21999.0,30000.0,27,5.0,4
156,generic-7200mah-rechargeable-fan-usb-folding-telescopic-7.7-inch-303109915,Generic,7200MaH Rechargeable Fan USB Folding Telescopic 7.7 Inch,21500.0,34000.0,37,3.9,49
157,generic-60-acdc-solar-ceiling-fan-with-remote-control-and-led-light-209942956,Generic,"60"" AC/DC Solar Ceiling Fan With Remote Control And LED Light",65500.0,65500.0,0,4.1,16
158,18-inch-445mm-wall-fan-bb-mpg2235525,BB,BB 18 Inch (445MM) WALL FAN,28499.0,39000.0,27,4.2,29
160,qasa-short-blade-ceiling-fan-24-inches-87591588,Qasa,Qasa Short Blade Ceiling Fan -24 Inches,21999.0,60000.0,63,4.2,139
161,generic-super-mini-rechargeable-desktop-fan-5inches-iw8038-a-319985930,Generic,Super Mini Rechargeable Desktop  Fan 5inches IW8038-A,9599.0,20000.0,52,4.0,18
162,generic-iwin-rechargeable-mini-desktop-fan-361456717,Generic,Iwin Rechargeable Mini Desktop Fan,8500.0,45000.0,81,2.5,2
164,generic-usb-flexible-fan-for-power-bank-laptop-charger-2-pack-293081802,Generic,"USB Flexible Fan For Power Bank, Laptop, Charger - 2 Pack",4550.0,10000.0,55,4.7,6
165,generic-12v-dual-head-car-fan-vehicle-truck-360-rotatable-cooler-273588900,Generic,12V Dual Head Car Fan Vehicle Truck 360° Rotatable Cooler,9611.0,18667.0,49,3.8,4
166,generic-intelligent-led-ceiling-light-with-built-in-fan-and-remote-control-30w-multicolor-284868568,Generic,Intelligent Led Ceiling Light With Built-in Fan And Remote Control - 30W - Multicolor,19443.0,28300.0,31,4.0,2
168,generic-mini-folding-telescopic-floor-fan-311967612,Generic,Mini Folding Telescopic Floor Fan,8831.0,13990.0,37,3.0,3
169,mini-foldable-usb-rechargable-mini-hand-fan-with-battery-129507032,Mini,Mini Foldable USB Rechargable Mini Hand Fan With Battery,5600.0,6000.0,12,3.8,15
171,rechargeable-table-fan-12-inches-lontor-mpg3632935,Lontor,"Lontor Table Rechargeable Fan 12""",39899.0,61500.0,35,4.5,44
173,generic-phone-radiator-fans-semiconductor-3-gear-adjustable-264002173,Generic,Phone Radiator Fans Semiconductor 3-Gear Adjustable,13751.0,16501.0,17,5.0,1
